OTU_ID	sample_2353	sample_2160	sample_1861	sample_2187	sample_1533	sample_1828	sample_2262	sample_1728	sample_1799	sample_1758	sample_1760	sample_388	sample_1347	sample_1558	sample_1401	sample_607	sample_1546	sample_706	sample_1543	sample_1600	sample_2192	sample_1811	sample_566	sample_573	sample_2289	sample_1740	sample_1427	sample_1337	sample_1825	sample_483	sample_1522	sample_1832	sample_669	sample_2222	sample_473	sample_1500	sample_1475	sample_1520	sample_2158	sample_511	sample_469	sample_1489	sample_445	sample_2311	sample_1774	sample_2274	sample_520	sample_455	sample_1387	sample_424	sample_695	sample_1637	sample_1275	sample_1733	sample_429	sample_453	sample_2148	sample_1479	sample_1535	sample_1644	sample_1854	sample_743	sample_1464	sample_517	sample_1484	sample_1357	sample_1622	sample_1456	sample_433	sample_407	sample_2171	sample_685	sample_1269	sample_420	sample_535	sample_2281	sample_461	sample_2369	sample_382	sample_2167	sample_1707	sample_1560	sample_1443	sample_651	sample_1291	sample_2261	sample_574	sample_1276	sample_1372	sample_393	sample_565	sample_514	sample_1804	sample_1298	sample_2219	sample_1548	sample_726	sample_1263	sample_1678	sample_557
theta_p_10	21.0	48.0	31.0	102.0	34.0	16.0	21.0	86.0	16.0	132.0	45.0	129.0	278.0	24.0	56.0	20.0	8.0	28.0	17.0	91.0	73.0	45.0	69.0	108.0	236.0	330.0	23.0	37.0	47.0	20.0	19.0	36.0	221.0	76.0	118.0	24.0	37.0	47.0	14.0	2.0	52.0	64.0	0.0	4.0	143.0	54.0	133.0	37.0	138.0	23.0	19.0	44.0	22.0	78.0	13.0	67.0	77.0	24.0	45.0	12.0	43.0	79.0	17.0	263.0	7.0	33.0	132.0	181.0	40.0	71.0	72.0	144.0	74.0	7.0	26.0	30.0	58.0	54.0	11.0	18.0	26.0	11.0	29.0	271.0	31.0	133.0	63.0	257.0	40.0	63.0	8.0	75.0	24.0	76.0	52.0	11.0	18.0	38.0	36.0	30.0
theta_p_11	19.0	14.0	23.0	7.0	6.0	18.0	15.0	33.0	16.0	91.0	23.0	12.0	53.0	59.0	7.0	2.0	40.0	14.0	0.0	13.0	21.0	97.0	9.0	3.0	19.0	22.0	128.0	30.0	41.0	5.0	12.0	25.0	9.0	171.0	18.0	39.0	26.0	13.0	17.0	95.0	28.0	345.0	20.0	3.0	1.0	63.0	134.0	12.0	63.0	18.0	8.0	36.0	3.0	17.0	70.0	21.0	65.0	12.0	43.0	24.0	8.0	8.0	10.0	27.0	5.0	68.0	29.0	17.0	31.0	9.0	2.0	4.0	2.0	2.0	3.0	10.0	7.0	79.0	57.0	74.0	42.0	35.0	57.0	129.0	67.0	5.0	25.0	21.0	3.0	4.0	19.0	7.0	35.0	36.0	53.0	4.0	36.0	14.0	8.0	1.0
theta_p_12	10.0	44.0	16.0	19.0	8.0	94.0	24.0	6.0	121.0	21.0	91.0	60.0	5.0	11.0	8.0	10.0	20.0	11.0	13.0	29.0	14.0	6.0	166.0	13.0	22.0	44.0	10.0	28.0	17.0	13.0	83.0	18.0	15.0	37.0	31.0	253.0	60.0	15.0	23.0	4.0	17.0	129.0	31.0	7.0	11.0	53.0	15.0	1.0	81.0	24.0	23.0	95.0	67.0	18.0	21.0	7.0	11.0	107.0	12.0	6.0	72.0	112.0	92.0	33.0	2.0	16.0	52.0	15.0	14.0	37.0	21.0	21.0	110.0	48.0	22.0	22.0	26.0	168.0	65.0	5.0	29.0	65.0	8.0	16.0	22.0	38.0	29.0	14.0	106.0	4.0	19.0	10.0	40.0	6.0	191.0	5.0	17.0	8.0	71.0	85.0
theta_p_13	93.0	20.0	18.0	6.0	38.0	6.0	18.0	20.0	53.0	4.0	280.0	31.0	9.0	23.0	89.0	9.0	11.0	5.0	28.0	128.0	6.0	97.0	51.0	144.0	52.0	93.0	19.0	13.0	5.0	43.0	20.0	21.0	36.0	11.0	35.0	9.0	12.0	8.0	6.0	27.0	17.0	130.0	27.0	37.0	23.0	15.0	150.0	36.0	81.0	10.0	22.0	49.0	10.0	8.0	6.0	46.0	13.0	44.0	157.0	13.0	55.0	20.0	60.0	6.0	13.0	13.0	26.0	6.0	98.0	8.0	13.0	19.0	70.0	94.0	48.0	7.0	90.0	16.0	9.0	23.0	37.0	27.0	11.0	52.0	32.0	159.0	14.0	12.0	12.0	14.0	19.0	36.0	61.0	18.0	28.0	12.0	20.0	9.0	35.0	203.0
theta_p_14	14.0	3.0	70.0	20.0	5.0	1.0	9.0	22.0	10.0	4.0	35.0	13.0	6.0	6.0	7.0	10.0	8.0	4.0	2.0	5.0	7.0	7.0	14.0	5.0	7.0	5.0	10.0	11.0	71.0	7.0	8.0	1.0	11.0	13.0	12.0	2.0	129.0	13.0	30.0	0.0	1.0	7.0	3.0	8.0	10.0	15.0	6.0	6.0	12.0	3.0	0.0	18.0	21.0	7.0	4.0	44.0	12.0	21.0	7.0	9.0	0.0	22.0	28.0	10.0	7.0	7.0	4.0	3.0	6.0	10.0	4.0	3.0	7.0	3.0	19.0	5.0	102.0	6.0	13.0	2.0	34.0	39.0	9.0	8.0	7.0	8.0	25.0	3.0	19.0	5.0	0.0	29.0	4.0	7.0	8.0	6.0	9.0	8.0	2.0	27.0
theta_p_15	15.0	283.0	66.0	49.0	54.0	27.0	62.0	16.0	20.0	341.0	91.0	44.0	95.0	178.0	12.0	56.0	50.0	46.0	22.0	1.0	15.0	70.0	29.0	19.0	47.0	32.0	55.0	26.0	80.0	139.0	22.0	70.0	15.0	32.0	18.0	30.0	43.0	74.0	18.0	22.0	43.0	99.0	754.0	11.0	18.0	10.0	30.0	16.0	35.0	14.0	56.0	38.0	67.0	27.0	17.0	17.0	10.0	18.0	10.0	31.0	17.0	111.0	31.0	7.0	73.0	13.0	29.0	160.0	76.0	12.0	9.0	18.0	6.0	28.0	61.0	126.0	8.0	18.0	13.0	45.0	125.0	14.0	52.0	17.0	4.0	109.0	13.0	19.0	3.0	129.0	44.0	84.0	126.0	9.0	22.0	22.0	59.0	178.0	62.0	104.0
theta_p_16	8.0	12.0	97.0	81.0	28.0	28.0	37.0	16.0	23.0	52.0	97.0	15.0	11.0	7.0	16.0	122.0	24.0	17.0	44.0	24.0	15.0	19.0	235.0	28.0	15.0	6.0	33.0	9.0	206.0	168.0	90.0	69.0	93.0	23.0	93.0	5.0	8.0	43.0	390.0	108.0	6.0	18.0	9.0	12.0	41.0	26.0	5.0	215.0	78.0	116.0	21.0	15.0	7.0	110.0	6.0	45.0	16.0	154.0	29.0	17.0	6.0	134.0	40.0	15.0	26.0	47.0	36.0	76.0	41.0	10.0	29.0	32.0	11.0	107.0	54.0	15.0	54.0	75.0	9.0	20.0	29.0	13.0	12.0	16.0	37.0	134.0	40.0	36.0	39.0	5.0	4.0	85.0	16.0	0.0	173.0	55.0	39.0	31.0	102.0	22.0
theta_p_17	10.0	15.0	447.0	30.0	161.0	33.0	60.0	375.0	28.0	63.0	266.0	57.0	9.0	50.0	12.0	8.0	89.0	5.0	61.0	18.0	21.0	95.0	7.0	44.0	58.0	17.0	5.0	15.0	76.0	7.0	36.0	15.0	19.0	92.0	58.0	31.0	89.0	15.0	245.0	12.0	28.0	99.0	106.0	72.0	85.0	10.0	133.0	70.0	62.0	25.0	401.0	79.0	24.0	34.0	125.0	45.0	34.0	73.0	16.0	38.0	12.0	218.0	42.0	14.0	16.0	24.0	29.0	6.0	121.0	30.0	20.0	40.0	113.0	66.0	16.0	17.0	44.0	26.0	21.0	135.0	24.0	35.0	66.0	53.0	18.0	161.0	0.0	62.0	14.0	25.0	15.0	11.0	61.0	80.0	22.0	55.0	23.0	58.0	63.0	32.0
theta_p_18	4.0	4.0	5.0	16.0	7.0	19.0	12.0	24.0	9.0	46.0	16.0	52.0	3.0	4.0	10.0	1.0	17.0	32.0	3.0	5.0	8.0	21.0	39.0	5.0	84.0	2.0	26.0	7.0	58.0	20.0	8.0	5.0	72.0	23.0	2.0	4.0	38.0	24.0	35.0	7.0	14.0	11.0	3.0	26.0	24.0	2.0	7.0	60.0	5.0	7.0	82.0	16.0	7.0	19.0	2.0	8.0	25.0	21.0	2.0	20.0	28.0	21.0	20.0	7.0	9.0	1.0	12.0	2.0	7.0	13.0	33.0	50.0	8.0	50.0	17.0	94.0	12.0	22.0	17.0	3.0	38.0	0.0	8.0	19.0	2.0	9.0	21.0	3.0	12.0	7.0	22.0	42.0	86.0	0.0	18.0	4.0	4.0	8.0	18.0	11.0
theta_p_19	30.0	11.0	32.0	2.0	7.0	3.0	33.0	11.0	38.0	108.0	8.0	25.0	14.0	10.0	21.0	4.0	109.0	8.0	31.0	51.0	27.0	79.0	2.0	10.0	23.0	8.0	4.0	11.0	9.0	5.0	26.0	25.0	9.0	73.0	26.0	17.0	14.0	1.0	21.0	18.0	10.0	3.0	3.0	29.0	1.0	33.0	40.0	2.0	3.0	14.0	6.0	28.0	58.0	13.0	10.0	9.0	12.0	1.0	8.0	24.0	109.0	39.0	12.0	8.0	7.0	11.0	4.0	26.0	12.0	15.0	5.0	19.0	11.0	19.0	168.0	4.0	24.0	86.0	50.0	1.0	53.0	43.0	17.0	13.0	22.0	3.0	1.0	3.0	81.0	5.0	118.0	18.0	5.0	18.0	125.0	2.0	77.0	24.0	22.0	26.0
theta_p_20	19.0	8.0	18.0	18.0	15.0	43.0	20.0	31.0	14.0	14.0	15.0	121.0	18.0	46.0	11.0	1.0	6.0	20.0	66.0	51.0	5.0	7.0	24.0	12.0	64.0	40.0	32.0	18.0	13.0	3.0	51.0	6.0	8.0	5.0	1.0	46.0	15.0	9.0	37.0	6.0	11.0	13.0	6.0	1.0	16.0	6.0	5.0	8.0	0.0	9.0	5.0	18.0	100.0	12.0	5.0	6.0	1.0	27.0	13.0	16.0	26.0	32.0	4.0	3.0	5.0	23.0	4.0	1.0	18.0	4.0	18.0	5.0	12.0	16.0	17.0	10.0	10.0	17.0	5.0	0.0	10.0	16.0	2.0	18.0	118.0	60.0	11.0	7.0	17.0	2.0	58.0	40.0	3.0	10.0	27.0	4.0	4.0	7.0	25.0	24.0
theta_p_21	2.0	4.0	9.0	2.0	4.0	1.0	9.0	4.0	13.0	4.0	0.0	12.0	4.0	2.0	0.0	3.0	0.0	1.0	3.0	2.0	7.0	5.0	12.0	5.0	4.0	5.0	0.0	6.0	15.0	8.0	24.0	9.0	6.0	4.0	13.0	27.0	7.0	4.0	3.0	1.0	4.0	7.0	7.0	2.0	3.0	1.0	0.0	4.0	3.0	13.0	3.0	2.0	1.0	5.0	7.0	5.0	0.0	10.0	10.0	7.0	1.0	7.0	7.0	0.0	14.0	9.0	10.0	1.0	1.0	2.0	16.0	1.0	10.0	3.0	0.0	3.0	6.0	5.0	4.0	1.0	23.0	6.0	4.0	2.0	10.0	13.0	10.0	1.0	5.0	3.0	2.0	5.0	1.0	23.0	2.0	6.0	5.0	4.0	6.0	22.0
theta_p_22	17.0	17.0	35.0	5.0	42.0	19.0	7.0	15.0	3.0	21.0	18.0	3.0	10.0	3.0	5.0	13.0	7.0	16.0	91.0	3.0	2.0	10.0	39.0	6.0	34.0	5.0	5.0	10.0	37.0	12.0	98.0	52.0	9.0	8.0	21.0	18.0	4.0	6.0	3.0	42.0	29.0	5.0	2.0	1.0	9.0	1.0	5.0	0.0	19.0	6.0	8.0	17.0	11.0	4.0	1.0	19.0	5.0	15.0	4.0	7.0	10.0	34.0	34.0	1.0	2.0	8.0	6.0	5.0	3.0	30.0	9.0	29.0	55.0	12.0	9.0	18.0	28.0	90.0	7.0	3.0	35.0	5.0	18.0	12.0	5.0	23.0	25.0	4.0	11.0	2.0	5.0	36.0	14.0	3.0	13.0	27.0	4.0	16.0	24.0	27.0
theta_p_23	12.0	7.0	12.0	9.0	68.0	52.0	11.0	28.0	12.0	40.0	8.0	25.0	3.0	8.0	35.0	22.0	318.0	67.0	29.0	17.0	24.0	8.0	83.0	5.0	5.0	6.0	15.0	22.0	30.0	29.0	3.0	88.0	78.0	7.0	9.0	39.0	39.0	25.0	15.0	14.0	11.0	23.0	12.0	0.0	91.0	9.0	9.0	20.0	16.0	15.0	10.0	17.0	11.0	4.0	6.0	47.0	35.0	15.0	64.0	54.0	26.0	27.0	45.0	60.0	11.0	5.0	119.0	6.0	17.0	5.0	38.0	2.0	6.0	11.0	31.0	34.0	52.0	8.0	13.0	23.0	5.0	56.0	14.0	22.0	3.0	20.0	18.0	50.0	2.0	36.0	14.0	30.0	18.0	82.0	64.0	71.0	10.0	84.0	111.0	13.0
theta_p_24	3.0	3.0	86.0	35.0	32.0	9.0	23.0	7.0	18.0	89.0	8.0	6.0	23.0	37.0	9.0	44.0	21.0	16.0	16.0	16.0	15.0	15.0	11.0	5.0	90.0	8.0	14.0	2.0	15.0	33.0	36.0	13.0	36.0	5.0	8.0	22.0	30.0	27.0	56.0	16.0	23.0	0.0	8.0	1.0	3.0	3.0	31.0	43.0	20.0	26.0	0.0	26.0	23.0	8.0	2.0	55.0	7.0	7.0	0.0	87.0	20.0	14.0	18.0	5.0	24.0	1.0	14.0	6.0	1.0	10.0	4.0	49.0	9.0	10.0	138.0	8.0	7.0	8.0	20.0	22.0	8.0	16.0	7.0	12.0	38.0	23.0	31.0	13.0	3.0	31.0	20.0	4.0	50.0	16.0	77.0	21.0	147.0	13.0	1.0	12.0
theta_p_25	14.0	8.0	16.0	31.0	56.0	22.0	22.0	86.0	32.0	25.0	13.0	25.0	19.0	28.0	20.0	168.0	100.0	88.0	22.0	9.0	10.0	6.0	45.0	45.0	28.0	208.0	22.0	27.0	49.0	32.0	9.0	32.0	28.0	12.0	27.0	20.0	15.0	25.0	7.0	15.0	40.0	124.0	5.0	1.0	21.0	7.0	25.0	19.0	68.0	63.0	11.0	83.0	5.0	15.0	39.0	85.0	17.0	30.0	47.0	40.0	36.0	55.0	8.0	3.0	1.0	4.0	117.0	39.0	36.0	36.0	10.0	16.0	18.0	20.0	12.0	13.0	72.0	3.0	25.0	7.0	33.0	12.0	79.0	6.0	55.0	8.0	64.0	123.0	46.0	58.0	11.0	53.0	26.0	16.0	15.0	18.0	28.0	13.0	11.0	5.0
theta_p_26	34.0	32.0	7.0	7.0	58.0	7.0	10.0	9.0	8.0	67.0	26.0	42.0	13.0	11.0	9.0	29.0	16.0	30.0	17.0	16.0	43.0	2.0	24.0	26.0	55.0	14.0	31.0	5.0	183.0	6.0	29.0	46.0	10.0	12.0	3.0	13.0	13.0	13.0	32.0	23.0	18.0	38.0	50.0	4.0	10.0	11.0	73.0	9.0	25.0	25.0	10.0	5.0	7.0	8.0	33.0	8.0	8.0	7.0	6.0	40.0	1.0	9.0	90.0	11.0	53.0	57.0	7.0	15.0	3.0	26.0	10.0	3.0	7.0	29.0	28.0	11.0	4.0	43.0	34.0	9.0	212.0	40.0	3.0	1.0	59.0	2.0	55.0	16.0	80.0	13.0	35.0	11.0	26.0	7.0	5.0	12.0	31.0	3.0	4.0	20.0
theta_p_27	40.0	14.0	39.0	155.0	65.0	112.0	6.0	8.0	28.0	95.0	28.0	115.0	36.0	5.0	10.0	7.0	92.0	23.0	12.0	87.0	9.0	68.0	14.0	22.0	5.0	11.0	11.0	9.0	23.0	54.0	41.0	23.0	42.0	23.0	79.0	42.0	1.0	31.0	42.0	12.0	4.0	44.0	14.0	21.0	14.0	18.0	21.0	75.0	7.0	12.0	13.0	9.0	147.0	49.0	72.0	16.0	61.0	39.0	5.0	2.0	16.0	14.0	11.0	9.0	18.0	20.0	19.0	28.0	38.0	123.0	19.0	36.0	76.0	54.0	53.0	19.0	24.0	37.0	9.0	24.0	39.0	16.0	20.0	39.0	20.0	16.0	14.0	3.0	80.0	51.0	44.0	108.0	6.0	25.0	175.0	98.0	16.0	54.0	25.0	41.0
theta_p_28	1.0	7.0	13.0	2.0	4.0	1.0	8.0	6.0	8.0	45.0	7.0	0.0	1.0	5.0	10.0	8.0	5.0	2.0	5.0	1.0	6.0	5.0	2.0	6.0	28.0	29.0	16.0	5.0	10.0	3.0	11.0	2.0	9.0	18.0	88.0	33.0	21.0	23.0	20.0	2.0	17.0	9.0	13.0	1.0	0.0	3.0	4.0	2.0	0.0	6.0	4.0	2.0	7.0	6.0	20.0	1.0	0.0	26.0	17.0	18.0	9.0	4.0	2.0	1.0	2.0	0.0	13.0	2.0	14.0	16.0	5.0	3.0	22.0	0.0	13.0	1.0	2.0	10.0	1.0	31.0	17.0	3.0	1.0	2.0	1.0	34.0	7.0	6.0	0.0	2.0	1.0	0.0	6.0	14.0	1.0	13.0	1.0	0.0	26.0	8.0
theta_p_29	19.0	8.0	85.0	7.0	24.0	5.0	50.0	7.0	10.0	19.0	26.0	9.0	19.0	42.0	6.0	3.0	14.0	6.0	49.0	8.0	103.0	29.0	18.0	1.0	51.0	6.0	28.0	12.0	14.0	12.0	54.0	3.0	20.0	31.0	9.0	15.0	21.0	6.0	7.0	7.0	37.0	14.0	38.0	1.0	12.0	79.0	7.0	6.0	36.0	59.0	5.0	31.0	76.0	10.0	2.0	1.0	6.0	20.0	3.0	27.0	2.0	59.0	2.0	3.0	4.0	18.0	1.0	5.0	0.0	17.0	5.0	11.0	20.0	1.0	18.0	62.0	15.0	83.0	20.0	18.0	11.0	16.0	137.0	7.0	8.0	15.0	12.0	15.0	15.0	6.0	35.0	46.0	65.0	9.0	22.0	11.0	32.0	14.0	12.0	14.0
theta_p_30	8.0	16.0	8.0	77.0	13.0	55.0	31.0	24.0	19.0	40.0	41.0	5.0	4.0	11.0	14.0	13.0	4.0	21.0	39.0	30.0	27.0	68.0	28.0	2.0	13.0	389.0	16.0	59.0	7.0	28.0	2.0	22.0	114.0	2.0	20.0	23.0	121.0	2.0	12.0	21.0	17.0	21.0	32.0	40.0	7.0	264.0	14.0	21.0	12.0	6.0	7.0	20.0	9.0	106.0	26.0	9.0	7.0	4.0	15.0	3.0	21.0	13.0	17.0	135.0	5.0	35.0	7.0	68.0	0.0	8.0	4.0	39.0	46.0	32.0	23.0	26.0	10.0	4.0	62.0	0.0	16.0	33.0	72.0	19.0	35.0	13.0	35.0	13.0	2.0	6.0	10.0	59.0	45.0	11.0	55.0	26.0	2.0	16.0	20.0	1.0
